date,States,District,Local Cases,Import Cases,Total Cases
31/07/2021,Selangor,Hulu Selangor,365,0,365
31/07/2021,Selangor,Klang,1125,0,1125
31/07/2021,Selangor,Kuala Langat,240,0,240
31/07/2021,Selangor,Kuala Selangor,203,0,203
31/07/2021,Selangor,Petaling,1491,0,1491
31/07/2021,Selangor,Sabak Bernam,48,9,57
31/07/2021,Selangor,Sepang,340,0,340
01/08/2021,Selangor,Gombak,374,0,374
01/08/2021,Selangor,Hulu Langat,1819,0,1819
01/08/2021,Selangor,Hulu Selangor,561,0,561
01/08/2021,Selangor,Klang,1946,0,1946
01/08/2021,Selangor,Kuala Langat,212,0,212
01/08/2021,Selangor,Kuala Selangor,194,0,194
01/08/2021,Selangor,Petaling,826,0,826
01/08/2021,Selangor,Sabak Bernam,45,0,45
01/08/2021,Selangor,Sepang,349,0,349
02/08/2021,Selangor,Gombak,451,0,451
02/08/2021,Selangor,Hulu Langat,1779,0,1779
02/08/2021,Selangor,Hulu Selangor,134,0,134
02/08/2021,Selangor,Klang,1637,0,1637
02/08/2021,Selangor,Kuala Langat,116,0,116
02/08/2021,Selangor,Kuala Selangor,214,0,214
02/08/2021,Selangor,Petaling,1221,0,1221
02/08/2021,Selangor,Sabak Bernam,120,2,122
02/08/2021,Selangor,Sepang,393,0,393
03/08/2021,Selangor,Gombak,602,0,602
03/08/2021,Selangor,Hulu Langat,954,0,954
03/08/2021,Selangor,Hulu Selangor,265,0,265
03/08/2021,Selangor,Klang,1929,0,1929
03/08/2021,Selangor,Kuala Langat,219,0,219
03/08/2021,Selangor,Kuala Selangor,228,0,228
03/08/2021,Selangor,Petaling,1350,0,1350
03/08/2021,Selangor,Sabak Bernam,44,2,46
03/08/2021,Selangor,Sepang,243,0,243
04/08/2021,Selangor,Gombak,1010,0,1010
04/08/2021,Selangor,Hulu Langat,1005,0,1005
04/08/2021,Selangor,Hulu Selangor,293,0,293
04/08/2021,Selangor,Klang,2951,0,2951
04/08/2021,Selangor,Kuala Langat,262,1,263
04/08/2021,Selangor,Kuala Selangor,220,1,221
04/08/2021,Selangor,Petaling,2254,0,2254
04/08/2021,Selangor,Sabak Bernam,57,0,57
04/08/2021,Selangor,Sepang,323,0,323
05/08/2021,Selangor,Gombak,923,1,924
05/08/2021,Selangor,Hulu Langat,1575,0,1575
05/08/2021,Selangor,Hulu Selangor,124,0,124
05/08/2021,Selangor,Klang,2451,0,2451
05/08/2021,Selangor,Kuala Langat,293,1,294
05/08/2021,Selangor,Kuala Selangor,292,0,292
05/08/2021,Selangor,Petaling,2339,0,2339
05/08/2021,Selangor,Sabak Bernam,131,3,134
05/08/2021,Selangor,Sepang,416,0,416
